"GEOID","NAME","state_name","male_pop","female_pop","total_pop","white_alone","black_alone","am_indian_alone","asian_alone","pacificI_alone","other_alone","two_or_more","pop_15_over","males_divorced","females_divorced","pop_25_over","highshool_grad","ged_alt_cred","some_college_less","some_college_more","associates","bachelors","masters","prof_school","doctorate","med_household_income","pct_female","pct_male","pct_white","pct_black","pct_am_indian","pct_asian","pct_pacificI","pct_other","pct_two_or_more","pct_divorced","pct_hs_or_higher","pct_ba_or_higher","pct_doctorate"
"0101","Congressional District 1 (118th Congress)","Alabama",350338,373949,724287,473484,190966,4883,11091,310,10976,32577,589759,31245,39817,501707,138023,25572,31381,74679,45877,84622,35280,8440,4987,61488,51.6299477969368,48.3700522030632,65.3724283329675,26.3660675947518,0.674180262796378,1.53129905686558,0.0428007129770381,1.51542137301926,4.49780266662249,0.120493286240651,89.4667604797222,26.5750727017961,0.99400646193894
"0102","Congressional District 2 (118th Congress)","Alabama",346999,370020,717019,436848,221824,1891,12283,199,10942,33032,581393,31459,42557,489049,129234,26671,31716,72672,44705,74645,36515,7626,4875,59954,51.6053270554895,48.3946729445105,60.9255821672787,30.9369765654746,0.263730807691288,1.71306478628879,0.0277537973191784,1.52604045360025,4.60685142234725,0.127308034324459,87.6515441193009,25.2860142848672,0.996832628223348
"0103","Congressional District 3 (118th Congress)","Alabama",351064,369974,721038,493356,175840,1606,10316,487,10789,28644,595109,32219,40341,490065,127702,29369,33429,73250,45804,68046,34389,6206,6547,58158,51.3113039812049,48.6886960187951,68.4230234744909,24.3870642046605,0.222734446728189,1.43071516341718,0.067541516535883,1.49631503471384,3.97260615945345,0.121927243580588,86.6705437033863,23.5046371399712,1.33594523175497
"0104","Congressional District 4 (118th Congress)","Alabama",355212,366307,721519,597371,51713,5429,4006,616,26920,35464,585860,34943,41896,495704,136617,31540,36345,69915,50072,59291,25141,5852,4486,57065,50.7688640215989,49.2311359784011,82.7935231088856,7.16724022513614,0.752440337676485,0.555217534118991,0.0853754370986765,3.7310174784032,4.91518587868095,0.131155907554706,84.5784984587577,19.1182641253651,0.904975549924955
"0105","Congressional District 5 (118th Congress)","Alabama",361264,371256,732520,522614,130130,4654,13411,450,17577,43684,601534,30784,38614,507885,102702,22917,32315,72467,41351,111079,56915,7608,7865,75486,50.6820291596134,49.3179708403866,71.3446731829848,17.7647026702343,0.635341014579807,1.83080325451865,0.0614317697810299,2.39952492764703,5.96352318025446,0.115368374854954,89.6303297006212,36.1237287968733,1.54857891058015
"0106","Congressional District 6 (118th Congress)","Alabama",347654,367062,714716,506926,143883,2564,12132,392,17293,31526,576052,25392,37512,490765,101590,18303,30293,66418,39456,118267,50210,15316,8761,79908,51.3577420961613,48.6422579038387,70.926913627231,20.1314927887441,0.35874389267905,1.69745745163114,0.0548469601911808,2.41956245557676,4.41098282394685,0.109198475137661,91.4111642028262,39.2354793027213,1.78517212922682
"0107","Congressional District 7 (118th Congress)","Alabama",340888,382266,723154,272771,404151,1464,8730,110,12805,23123,594594,31191,42567,473127,135460,20674,29205,72223,41893,69036,30726,7696,6654,48204,52.8609397168515,47.1390602831485,37.7196281843148,55.8872660595115,0.202446505170406,1.2072117418973,0.0152111445141699,1.77071550458132,3.19752086001045,0.124047669502215,87.4114138487129,24.1186827215526,1.406387714081
"0200","Congressional District (at Large) (118th Congress)","Alaska",385319,348652,733971,445545,22774,101226,47099,11379,16144,89804,584493,30345,35015,487903,115232,25974,35356,82491,44564,95793,41004,9294,6341,89336,47.5021492674779,52.4978507325221,60.7033520397945,3.10284738770333,13.7915530722603,6.4170110263212,1.55033373253167,2.19954194375527,12.2353607976337,0.111823409347931,93.4712432594184,31.2422756162598,1.29964357669455
"0401","Congressional District 1 (118th Congress)","Arizona",394586,405958,800544,597464,29349,13949,35502,1712,34349,88219,684898,36173,52086,601548,79462,14026,34557,84196,45885,185455,81014,28326,13686,95281,50.7102670184275,49.2897329815725,74.6322500699524,3.66613203021945,1.74244014070432,4.43473438062118,0.213854578886357,4.29070731902306,11.0198814805932,0.128864444048603,94.1914859662072,51.2811945181432,2.27513016417642
"0402","Congressional District 2 (118th Congress)","Arizona",408036,403548,811584,489789,19781,162975,10040,1714,43315,83970,674365,36693,42544,567609,128551,26437,44429,109143,54901,88287,41929,7723,7036,64884,49.7235036669032,50.2764963330968,60.3497604684173,2.43733242646479,20.0811006624083,1.23708698052204,0.211191940698683,5.33709388060879,10.3464336408801,0.117498683947121,89.5750419743168,25.5413497671813,1.23958570072004
