"GEOID","county_name","state_name","male_pop","female_pop","total_pop","white_alone","black_alone","am_indian_alone","asian_alone","pacificI_alone","other_alone","two_or_more","pop_15_over","males_divorced","females_divorced","pop_25_over","highshool_grad","ged_alt_cred","some_college_less","some_college_more","associates","bachelors","masters","prof_school","doctorate","med_household_income","pct_female","pct_male","pct_white","pct_black","pct_am_indian","pct_asian","pct_pacificI","pct_other","pct_two_or_more","pct_divorced","pct_hs_or_higher","pct_ba_or_higher","pct_doctorate"
"01001","Autauga County","Alabama",28669,30616,59285,43616,11829,42,616,0,460,2722,48106,2360,3494,40767,11084,2237,2796,5923,3234,6518,4006,599,407,69841,51.6420679767226,48.3579320232774,73.5700430125664,19.9527705153074,0.07084422703888,1.03904866323691,0,0.775912962806781,4.5913806190436,0.121689602128633,90.2789020531312,28.2826796183187,0.998356513846984
"01003","Baldwin County","Alabama",117316,122629,239945,198721,19144,980,2272,104,5440,13284,198266,9440,13520,171988,38757,8612,12826,24032,17132,35348,14835,3843,2382,75019,51.1071287169976,48.8928712830024,82.8193961116089,7.97849507178729,0.408426931171727,0.946883660838942,0.0433432661651628,2.26718623017775,5.53626872825022,0.115804020860864,91.7313998651069,32.797637044445,1.3849803474661
"01005","Barbour County","Alabama",12906,11851,24757,10891,11616,46,136,0,1337,731,20492,1513,1182,17628,5317,1312,1010,2536,1521,1179,559,193,90,44290,47.8692894938805,52.1307105061195,43.9915983358242,46.9200630124813,0.185806034656865,0.549339580724644,0,5.400492789918,2.95270024639496,0.13151473745852,77.8137054685727,11.4647152257772,0.510551395507148
"01007","Bibb County","Alabama",11824,10328,22152,16634,4587,175,51,0,80,625,18475,951,1300,15931,5449,1103,923,2192,1305,1121,537,92,77,51215,46.6233297219213,53.3766702780787,75.0902853015529,20.7069339111593,0.789996388587938,0.230227518959913,0,0.361141206211629,2.82141567352835,0.121840324763194,80.3402171866173,11.4682066411399,0.483334379511644
"01009","Blount County","Alabama",29934,29358,59292,53062,747,235,51,88,2055,3054,48135,2583,3046,40991,11610,2990,3715,4676,4521,4088,1843,287,168,61096,49.5142683667274,50.4857316332726,89.4926802941375,1.25986642380085,0.396343520205087,0.0860149767253592,0.148417999055522,3.46589759158065,5.15077919449504,0.116941934143555,82.6962016052304,15.5790295430704,0.409846063770096
"01011","Bullock County","Alabama",5554,4603,10157,2327,7234,0,47,0,328,221,8279,357,405,7378,2461,533,345,1236,224,493,117,54,0,36723,45.3184995569558,54.6815004430442,22.9103081618588,71.2218174657871,0,0.462735059564832,0,3.22929999015457,2.17583932263464,0.0920401014615292,74.0444564922743,8.9997289238276,0
"01013","Butler County","Alabama",8656,10151,18807,9622,8411,69,249,0,78,378,15345,784,1144,13164,5308,874,706,1661,1170,1046,581,154,31,44881,53.9745839315149,46.0254160684851,51.1618014569043,44.7227096293933,0.366884670601372,1.32397511564843,0,0.414739192853725,2.00988993459882,0.125643532095145,87.5949559404436,13.7648131267092,0.235490732300213
"01015","Calhoun County","Alabama",56151,59990,116141,82465,25515,302,925,198,2421,4315,95896,5478,8297,78627,21673,5444,5409,12412,6595,9842,4500,955,857,55826,51.6527324545165,48.3472675454835,71.0042103994283,21.9689859739455,0.260028758147424,0.796445699623733,0.170482430838377,2.08453517706925,3.71531156094747,0.143645198965546,86.0862044844646,20.5451053709286,1.08995637630839
"01017","Chambers County","Alabama",16080,18370,34450,19089,13697,16,201,3,716,728,28486,1482,2289,24484,7698,1717,1268,3660,2560,2386,921,174,90,49295,53.3236574746009,46.6763425253991,55.410740203193,39.7590711175617,0.04644412191582,0.583454281567489,0.00870827285921626,2.07837445573295,2.11320754716981,0.132380818647757,83.6219571965365,14.5850351249796,0.367586995588956
"01019","Cherokee County","Alabama",12423,12801,25224,23017,948,103,39,0,165,952,21364,1295,1459,18777,5810,1205,1141,2386,2212,1726,894,254,120,50769,50.7492863939106,49.2507136060894,91.2503964478275,3.75832540437678,0.408341262289883,0.154614652711703,0,0.654138915318744,3.77418331747542,0.12890844411159,83.8685626031847,15.9450391436332,0.639079725195718
"01021","Chilton County","Alabama",22245,23255,45500,36815,4175,616,222,156,1365,2151,36319,2287,2091,30747,10827,1853,2272,3718,2527,2858,1614,144,72,61873,51.1098901098901,48.8901098901099,80.9120879120879,9.17582417582418,1.35384615384615,0.487912087912088,0.342857142857143,3,4.72747252747253,0.120542966491368,84.1870751618044,15.2470159690376,0.234169187237779
"01023","Choctaw County","Alabama",5872,6653,12525,7101,4782,15,22,0,52,553,10499,549,714,8998,3249,393,846,1152,686,891,296,56,9,44483,53.1177644710579,46.8822355289421,56.6946107784431,38.1796407185629,0.119760479041916,0.17564870259481,0,0.415169660678643,4.41516966067864,0.120297171159158,84.21871527006,13.9142031562569,0.100022227161591
"01025","Clarke County","Alabama",10789,12013,22802,11749,10360,9,71,0,217,396,18762,1006,1181,15966,5867,898,1070,2124,1192,1545,714,179,25,49167,52.6839750899044,47.3160249100956,51.5261819138672,45.4346109990352,0.0394702219103587,0.311376195070608,0,0.951670906060872,1.73668976405578,0.116565398145187,85.2686959789553,15.4265313791808,0.156582738318928
"01027","Clay County","Alabama",6835,7353,14188,11424,1840,19,47,0,161,697,11759,447,593,10259,3256,541,803,1306,1021,1154,316,93,0,51852,51.8254863264731,48.1745136735269,80.5187482379476,12.968705948689,0.133915985339724,0.331265858471948,0,1.13476177051029,4.91260219904144,0.0884428948039799,82.7566039575007,15.2354030607272,0
"01029","Cleburne County","Alabama",7652,7602,15254,14158,598,42,16,0,206,234,12501,976,747,10861,3496,734,700,1510,857,1201,647,103,27,53319,49.8361085616887,50.1638914383113,92.8149993444342,3.9202832044054,0.275337616362921,0.104890520519208,0,1.3504654516848,1.53402386259342,0.137828973682105,85.3972930669367,18.2119510174017,0.248595893564129
"01031","Coffee County","Alabama",26968,27263,54231,38780,8991,312,509,49,1228,4362,43505,2420,3421,36904,8800,1932,2785,5563,4721,4497,2525,557,366,64672,50.2719846582213,49.7280153417787,71.5089155648983,16.5790783869005,0.575316700779997,0.938577566336597,0.0903542254430123,2.26438752742896,8.04337002821265,0.134260429835651,86.0231953175807,21.5288315629742,0.991762410578799
"01033","Colbert County","Alabama",27784,29864,57648,44984,9103,94,229,19,1020,2199,47396,3814,3533,40978,11757,2403,2633,6690,4086,5274,2120,522,391,56736,51.8040521787399,48.1959478212601,78.0321953927283,15.7906605606439,0.163058562309187,0.397238412434083,0.0329586455731335,1.76935886761032,3.81452955870108,0.155013081272681,87.5494167602128,20.2718531895163,0.954170530528576
"01035","Conecuh County","Alabama",5297,6114,11411,5730,5221,17,27,0,30,386,9443,491,571,8127,3504,404,775,820,540,565,351,45,106,42266,53.579879064061,46.420120935939,50.2147051091053,45.7540969240207,0.14897905529752,0.236613793707826,0,0.262904215230918,3.38270090263781,0.112464259239648,87.4861572535991,13.1290759197736,1.30429432755014
"01037","Coosa County","Alabama",5289,5034,10323,6664,3065,13,0,0,111,470,8877,717,684,7935,2570,565,543,1060,650,815,244,89,32,57063,48.7648939261843,51.2351060738157,64.5548774581033,29.6909813038845,0.1259323839969,0,0,1.0752688172043,4.552940036811,0.157823589050355,82.7725267800882,14.8708254568368,0.403276622558286
"01039","Covington County","Alabama",18172,19475,37647,31325,4417,83,151,0,245,1426,30792,1951,2580,26459,8057,1688,1798,3534,3181,2596,1441,392,116,50886,51.7305495789837,48.2694504210163,83.2071612611895,11.732674582304,0.22046909448296,0.401094376709964,0,0.650782266847292,3.78781841846628,0.147148610028579,86.1823954042103,17.1775199365055,0.438414150194641
"01041","Crenshaw County","Alabama",6366,6778,13144,9280,3071,28,153,5,111,496,10652,667,727,9104,3358,402,506,986,736,1046,411,58,15,49040,51.5672550213025,48.4327449786975,70.6025562994522,23.3642726719416,0.213024954351795,1.16402921485088,0.0380401704199635,0.844491783323189,3.77358490566038,0.130867442733759,82.579086115993,16.8057996485062,0.164762741652021
"01043","Cullman County","Alabama",44284,45179,89463,81402,958,312,499,19,1823,4450,72736,4773,5256,62400,15466,3867,4880,9543,7371,7754,3441,467,248,60916,50.500206789399,49.499793210601,90.9895711076087,1.07083375250103,0.348747526910566,0.557772486949912,0.0212378301644255,2.03771391524988,4.97412338061545,0.137882204135504,84.9951923076923,19.0865384615385,0.397435897435897
"01045","Dale County","Alabama",24398,25118,49516,33971,10504,333,654,37,1227,2790,39872,2791,3268,33832,8355,2194,2850,5551,3513,4370,1726,257,186,53955,50.7270377251797,49.2729622748203,68.6061071168915,21.2133451813555,0.672509895791259,1.32078520074319,0.0747233217545844,2.47798691332095,5.63454237014298,0.151961276083467,85.7235753133128,19.3278552849373,0.549775360605344
"01047","Dallas County","Alabama",17409,20127,37536,10207,26467,93,226,0,43,500,30269,1668,2299,25507,8810,1148,1417,3816,2677,2868,1184,105,181,36810,53.6205242966752,46.3794757033248,27.1925618073316,70.5109761295823,0.247762148337596,0.602088661551577,0,0.114556692242114,1.33205456095482,0.131058178334269,87.0584545418905,17.0070960912691,0.709609126906339
"01049","DeKalb County","Alabama",35969,35977,71946,58471,923,1059,145,418,6809,4121,57819,3255,3494,48464,13260,3047,3385,6363,5478,4115,2061,395,156,51149,50.0055597253496,49.9944402746504,81.2706752286437,1.28290662441275,1.47193728629806,0.20154004392183,0.580991299029828,9.46404247630167,5.72790704139216,0.116726335633615,78.9451964344668,13.8804060746121,0.321888412017167
"01051","Elmore County","Alabama",43186,45483,88669,64984,18685,204,604,3,722,3467,72985,3675,5077,61916,17687,3654,3433,9484,6108,9976,3982,615,531,75553,51.2952666659148,48.7047333340852,73.288296924517,21.072753724526,0.230069133519043,0.681185081595597,0.00338336961057416,0.814264286278181,3.91004747995354,0.119915051037884,89.5891207442341,24.3943407196847,0.857613540926417
"01053","Escambia County","Alabama",18346,18349,36695,22378,11255,1105,108,0,440,1409,29779,1965,2163,25499,9092,1922,1350,3199,2297,2080,899,152,54,44447,50.0040877503747,49.9959122496253,60.983785256847,30.6717536449107,3.01130944270337,0.294318026979152,0,1.1990734432484,3.83976018531135,0.138621175996508,82.5326483391506,12.4906859092513,0.211773010706302
