"GEOID","NAME","male_pop","female_pop","total_pop","white_alone","black_alone","am_indian_alone","asian_alone","pacificI_alone","other_alone","two_or_more","pop_15_over","males_divorced","females_divorced","pop_25_over","highshool_grad","ged_alt_cred","some_college_less","some_college_more","associates","bachelors","masters","prof_school","doctorate","med_household_income","pct_female","pct_male","pct_white","pct_black","pct_am_indian","pct_asian","pct_pacificI","pct_other","pct_two_or_more","pct_divorced","pct_hs_or_higher","pct_ba_or_higher","pct_doctorate"
"01","Alabama",2453419,2600834,5054253,3303370,1318507,22491,71969,2564,107302,228050,4124301,217233,283304,3448302,871328,175046,224684,501624,309158,584986,269176,58744,44175,62027,51.458326284814,48.541673715186,65.3582240540788,26.0870795347997,0.44499157442257,1.42392951045387,0.0507295539024263,2.12300413137213,4.51204164097049,0.121362868520023,88.1280409894493,36.7206526574529,1.28106528952511
"02","Alaska",385319,348652,733971,445545,22774,101226,47099,11379,16144,89804,584493,30345,35015,487903,115232,25974,35356,82491,44564,95793,41004,9294,6341,89336,47.5021492674779,52.4978507325221,60.7033520397945,3.10284738770333,13.7915530722603,6.4170110263212,1.55033373253167,2.19954194375527,12.2353607976337,0.111823409347931,93.4712432594184,40.3760583558617,1.29964357669455
"04","Arizona",3628694,3639481,7268175,4593653,336931,296794,249816,14434,595790,1180757,5960866,306774,398580,4990633,967753,203940,381968,805855,459127,999535,454564,99314,74049,76872,50.0742070739904,49.9257929260096,63.202289433042,4.63570291029041,4.0834734991934,3.43712142319083,0.198591806058605,8.19724346207954,16.2455774661452,0.118330792874727,89.0889993313474,41.810107054556,1.48375967537585
"05","Arkansas",1495958,1536693,3032651,2148886,452127,16893,47309,12040,91871,263525,2451326,142469,171908,2043779,580470,122308,138687,292336,162900,324625,137592,29944,21060,58773,50.6716071186562,49.3283928813437,70.8583348364187,14.908639338981,0.55703739071855,1.55998827428544,0.397012382895361,3.02939573330396,8.68959204339702,0.1282477320438,88.5576180203437,33.0819036696238,1.03044409400429
"06","California",19605882,19636903,39242785,17248779,2173343,445219,5997069,147827,6820303,6410245,32065423,1166642,1718647,26941198,4838712,657483,1612165,3714963,2134368,6035609,2587003,703157,508592,96334,50.0395244629045,49.9604755370955,43.9540134575056,5.53819765849952,1.13452447373447,15.2819658441673,0.376698544713379,17.3797629296697,16.33483709171,0.0899813172587806,84.5992520451392,44.4253778172745,1.88778539098373
"08","Colorado",2942568,2868206,5810774,4268784,232985,58576,187534,8647,315713,738535,4793201,238603,304715,4038534,656884,154139,245713,546484,336513,1117774,505200,103260,80121,92470,49.3601368767741,50.6398631232259,73.4632597998132,4.0095347022617,1.0080584789565,3.22734974721096,0.148809779901955,5.4332348840275,12.7097526078281,0.1133518081132,92.7586099312275,53.0605412756213,1.98391297436149
"09","Connecticut",1765117,1833231,3598348,2431342,384753,9569,170954,1806,256744,343180,3004421,124587,188413,2532853,565628,81466,138580,272011,193216,581935,348926,82933,48609,93760,50.9464620987186,49.0535379012814,67.5682841125983,10.6924899981881,0.265927586770374,4.75090235852675,0.0501896981614897,7.13505197385022,9.53715427190477,0.104179807024382,91.3319485970958,49.5733072547045,1.91914019487116
"10","Delaware",487585,518287,1005872,621799,220645,3744,41164,403,41233,76884,832644,36908,54081,710442,181606,24586,44248,88816,59416,144339,77430,14283,14574,82855,51.526138514642,48.473861485358,61.8169110980324,21.9356936071389,0.37221435729397,4.09236960567547,0.0400647398476148,4.09922932540124,7.64351726661046,0.109277194094955,91.3935268466673,43.6407194394476,2.05139898823549
"11","District of Columbia",320001,352078,672079,262549,290772,2044,27465,378,32338,56533,562489,18425,29632,484406,58680,11642,15714,41636,14177,126307,109725,49738,22136,106287,52.3864010034535,47.6135989965465,39.0651991804535,43.2645566964598,0.304130913181337,4.08657315583436,0.0562433880540829,4.81163672722998,8.41165993878696,0.0854363374217096,92.8467029723001,66.4902994595443,4.56972044111757
"12","Florida",10773620,11155261,21928881,13136701,3363769,66779,628137,13136,1222567,3497792,18385165,971110,1349137,15850299,3689490,656912,1037012,1960189,1599328,3285363,1377572,385231,215765,71711,50.8701789206663,49.1298210793337,59.9059340966828,15.339446641167,0.304525342629202,2.86442796602344,0.0599027373991404,5.57514539843597,15.9506178176625,0.126202130902823,89.6315078977374,43.3005017760233,1.36126769595955
